,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
94,94,94,94,94,2019-02-25,354.27999900000015,357.0,332.420013,348.059998,348.059998,2197800,2.0130437511523516
95,95,95,95,95,2019-03-04,348.22000099999997,352.869995,305.369995,314.209991,314.209991,2280400,2.1077305240749014
96,96,96,96,96,2019-03-11,313.130005,335.019989,310.980011,333.230011,333.230011,1537200,1.942922247780378
97,97,97,97,97,2019-03-18,334.679993,348.27999900000015,322.869995,323.209991,323.209991,2163500,2.031001578784735
98,98,98,98,98,2019-03-25,321.299988,322.140015,272.170013,285.589996,285.589996,5979300,2.1317272857134673
99,99,99,99,99,2019-04-01,290.01001,293.440002,275.359985,284.910004,284.910004,3347900,2.002386690500345
100,100,100,100,100,2019-04-08,285.399994,286.5,267.600006,270.079987,270.079987,3481500,2.0549097219854353
101,101,101,101,101,2019-04-15,271.450012,276.790009,244.080002,256.559998,256.559998,3650500,2.0526971823565416
102,102,102,102,102,2019-04-22,255.69999700000002,278.47000099999997,254.5,274.910004,274.910004,3952400,1.933250861252761
103,103,103,103,103,2019-04-29,275.429993,281.75,228.0,271.75,271.75,8824200,2.011628349586017
104,104,104,104,104,2019-05-06,265.820007,273.140015,251.08999599999999,258.920013,258.920013,4040700,2.0495519324726743
105,105,105,105,105,2019-05-13,251.0,268.519989,248.729996,260.480011,260.480011,3707000,1.9940110644421005
106,106,106,106,106,2019-05-20,258.179993,272.790009,252.00999500000003,270.390015,270.390015,3697700,1.9633492235280954
107,107,107,107,107,2019-05-27,269.809998,276.070007,259.48999,261.920013,261.920013,2569700,2.0323381245403347
108,108,108,108,108,2019-06-03,260.76001,274.589996,257.980011,267.869995,267.869995,3096200,1.977787799637656
109,109,109,109,109,2019-06-10,269.609985,279.690002,249.520004,250.960007,250.960007,3343200,2.0673812062812065
110,110,110,110,110,2019-06-17,251.63999900000002,262.670013,250.22000099999997,256.040009,256.040009,2467200,1.9801593429876811
111,111,111,111,111,2019-06-24,256.059998,260.589996,251.0,260.48999,260.48999,2300900,1.982916882909781
112,112,112,112,112,2019-07-01,263.089996,275.0,257.630005,261.47000099999997,261.47000099999997,1657400,1.9962519180164
113,113,113,113,113,2019-07-08,261.02999900000003,266.540009,253.44999700000002,262.690002,262.690002,1967700,1.995355738738774
114,114,114,114,114,2019-07-15,263.190002,266.859985,253.399994,260.47000099999997,260.47000099999997,1669700,2.008523058284935
115,115,115,115,115,2019-07-22,260.700012,276.02999900000003,260.700012,272.660004,272.660004,1979300,1.9552922950885014
116,116,116,116,116,2019-07-29,271.980011,285.769989,197.009995,200.619995,200.619995,6860200,2.359086884634804
117,117,117,117,117,2019-08-05,207.179993,212.75,181.020004,191.0,191.0,5245900,2.0503664659685863
118,118,118,118,118,2019-08-12,188.669998,198.070007,187.429993,193.009995,193.009995,2897500,1.9895860574474393
119,119,119,119,119,2019-08-19,195.0,200.429993,188.679993,189.58999599999999,189.58999599999999,2240100,2.0180389212097456
120,120,120,120,120,2019-08-26,190.809998,194.369995,188.050003,193.070007,193.070007,2044900,1.9819753929982504
121,121,121,121,121,2019-09-02,192.080002,192.470001,180.0,189.429993,189.429993,1779600,2.0192156159769272
122,122,122,122,122,2019-09-09,190.16000400000001,193.529999,183.080002,186.41000400000001,186.41000400000001,2577200,2.0162007882366657
123,123,123,123,123,2019-09-16,185.0,196.490005,182.580002,192.759995,192.759995,2613300,1.9670575266408366
124,124,124,124,124,2019-09-23,192.470001,192.470001,174.440002,175.889999,175.889999,3034900,2.095912195667248
125,125,125,125,125,2019-09-30,175.78999299999995,180.809998,159.399994,169.25,169.25,3183500,2.0392318995568686
126,126,126,126,126,2019-10-07,167.020004,173.220001,155.020004,169.639999,169.639999,3861500,1.9977010197930973
127,127,127,127,127,2019-10-14,169.580002,180.190002,169.300003,175.300003,175.300003,2704800,1.9677124706038938
128,128,128,128,128,2019-10-21,177.029999,184.169998,170.580002,182.33999599999999,182.33999599999999,2754400,1.9613908459228002
129,129,129,129,129,2019-10-28,183.759995,216.979996,177.75,216.789993,216.789993,6041900,1.8410904649090514
130,130,130,130,130,2019-11-04,218.080002,221.850006,213.25,219.61999500000002,219.61999500000002,2802000,1.9871140967834007
131,131,131,131,131,2019-11-11,217.83999599999999,227.27999900000003,216.91000400000001,223.229996,223.229996,2071100,1.9838283337155105
132,132,132,132,132,2019-11-18,216.850006,218.94999700000002,172.08999599999999,182.0,182.0,8451800,2.2265384395604397
133,133,133,133,133,2019-11-25,182.0,202.869995,181.220001,196.179993,196.179993,2994100,1.9277194744318293
134,134,134,134,134,2019-12-02,196.270004,197.869995,187.399994,189.220001,189.220001,2283600,2.0367825386492835
135,135,135,135,135,2019-12-09,189.300003,189.830002,175.25,181.850006,181.850006,2958900,2.040527878783793
136,136,136,136,136,2019-12-16,179.08999599999999,181.100006,162.25,162.889999,162.889999,5488500,2.1163976125998993
137,137,137,137,137,2019-12-23,164.08999599999999,175.25,161.669998,169.270004,169.270004,2302800,1.96230870887201
138,138,138,138,138,2019-12-30,169.690002,173.860001,165.240005,166.820007,166.820007,2875600,2.0146864698309237
139,139,139,139,139,2020-01-06,166.529999,195.490005,166.020004,189.059998,189.059998,6082900,1.8823654330092607
140,140,140,140,140,2020-01-13,166.5,184.949997,155.770004,181.279999,181.279999,8321600,2.042917029142305
141,141,141,141,141,2020-01-20,182.580002,192.75,180.740005,182.979996,182.979996,3073300,1.990709383336089
142,142,142,142,142,2020-01-27,179.110001,192.630005,178.0,186.28999299999998,186.28999299999998,2805000,1.9822320193012195
143,143,143,143,143,2020-02-03,186.449997,192.720001,184.850006,190.899994,190.899994,1035300,1.9758512250136582
