,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
82,82,82,82,82,82,82,82,82,2018-12-03,211.210007,211.94999700000002,197.009995,198.240005,184.893661,10438400,2.04882966482976
83,83,83,83,83,83,83,83,83,2018-12-10,198.360001,202.619995,193.639999,196.100006,182.897736,10033100,2.010912794158711
84,84,84,84,84,84,84,84,84,2018-12-17,195.83999599999999,198.25,183.639999,183.75,171.37918100000005,18758800,2.0672109170068027
85,85,85,85,85,85,85,85,85,2018-12-24,181.889999,192.300003,176.869995,189.369995,176.62081899999995,10295400,1.9703226744025633
86,86,86,86,86,86,86,86,86,2018-12-31,190.33999599999999,191.979996,182.889999,191.320007,178.43954499999995,10632900,1.9898075897519698
87,87,87,87,87,87,87,87,87,2019-01-07,191.360001,194.110001,188.66000400000001,192.21000700000002,179.269638,11104800,1.9953696479497034
88,88,88,88,88,88,88,88,88,2019-01-14,190.639999,196.399994,187.860001,195.860001,182.673904,11869300,1.9813642704923708
89,89,89,89,89,89,89,89,89,2019-01-21,194.220001,197.16000400000001,190.279999,195.899994,182.711197,8265400,1.9997958499171777
90,90,90,90,90,90,90,90,90,2019-01-28,193.139999,201.770004,191.070007,199.16000400000001,185.751724,15213600,1.983631201373143
91,91,91,91,91,91,91,91,91,2019-02-04,199.009995,203.080002,196.25,199.820007,186.367279,9084100,1.9966970124267887
92,92,92,92,92,92,92,92,92,2019-02-11,200.929993,210.399994,199.639999,208.860001,194.79866,11333900,1.9567174473009794
93,93,93,93,93,93,93,93,93,2019-02-18,207.91000400000001,209.66000400000001,207.149994,209.350006,196.60562099999999,6685300,1.997659398204173
94,94,94,94,94,94,94,94,94,2019-02-25,210.47000099999997,211.58999599999999,206.899994,207.490005,194.858856,9271500,2.008964292039031
95,95,95,95,95,95,95,95,95,2019-03-04,208.990005,209.979996,198.0,200.889999,188.660645,11623800,2.032853830618019
96,96,96,96,96,96,96,96,96,2019-03-11,201.880005,208.66000400000001,201.66000400000001,208.080002,195.412949,12725200,1.9654459682290852
97,97,97,97,97,97,97,97,97,2019-03-18,208.440002,210.539993,204.470001,204.66000400000001,192.20114099999998,10934000,2.016710631941549
98,98,98,98,98,98,98,98,98,2019-03-25,203.46000700000002,209.5,202.25,207.779999,195.13121,10449100,1.9849841418085676
99,99,99,99,99,99,99,99,99,2019-04-01,209.88999900000002,216.49000499999997,209.259995,215.41000400000001,202.29673799999998,8523900,1.964579152043468
100,100,100,100,100,100,100,100,100,2019-04-08,214.710007,217.49000499999997,210.72000099999997,217.419998,204.184372,7098700,1.990755247822236
101,101,101,101,101,101,101,101,101,2019-04-15,216.83999599999999,219.669998,214.899994,218.88000499999998,205.555496,6790600,1.9933296465339536
102,102,102,102,102,102,102,102,102,2019-04-22,217.30000299999998,219.75,189.360001,191.669998,180.00190700000005,24151700,2.1419627864763684
103,103,103,103,103,103,103,103,103,2019-04-29,191.520004,192.190002,183.380005,185.220001,173.94456499999995,22565500,2.034823436805834
104,104,104,104,104,104,104,104,104,2019-05-06,182.03999299999998,183.110001,173.009995,175.860001,165.154373,25034200,2.0532241552756503
105,105,105,105,105,105,105,105,105,2019-05-13,173.940002,176.970001,168.429993,169.08999599999999,158.796494,21580700,2.0400378801830477
106,106,106,106,106,106,106,106,106,2019-05-20,167.96000700000005,170.759995,164.58999599999999,166.08999599999999,155.979095,19224100,2.018062496671985
107,107,107,107,107,107,107,107,107,2019-05-27,166.800003,166.990005,159.630005,159.75,151.30874599999999,14544700,2.039686985915493
108,108,108,108,108,108,108,108,108,2019-06-03,159.75,167.08999599999999,159.320007,166.610001,157.806229,16234400,1.958825995085373
109,109,109,109,109,109,109,109,109,2019-06-10,168.110001,170.360001,166.050003,166.690002,157.882004,11511900,1.9995200611971917
110,110,110,110,110,110,110,110,110,2019-06-17,167.100006,174.559998,166.46000700000005,173.350006,164.190079,16128700,1.9615805955034116
111,111,111,111,111,111,111,111,111,2019-06-24,173.350006,174.369995,170.649994,173.33999599999999,164.18061799999995,12576600,2.0000577477802644
112,112,112,112,112,112,112,112,112,2019-07-01,175.46000700000005,175.779999,169.729996,172.0,162.91143799999998,6573300,2.0077906744186045
113,113,113,113,113,113,113,113,113,2019-07-08,169.919998,173.360001,164.28999299999995,173.33999599999999,164.18061799999995,15458600,1.9922695509927209
114,114,114,114,114,114,114,114,114,2019-07-15,173.380005,177.25,171.21000700000005,172.610001,163.489197,13637400,2.0042291581934464
115,115,115,115,115,115,115,115,115,2019-07-22,172.809998,187.720001,170.570007,173.979996,164.78680400000005,19275500,1.9921255602282002
116,116,116,116,116,116,116,116,116,2019-07-29,173.830002,178.020004,169.809998,170.550003,161.53804,12437900,2.0201113628828256
117,117,117,117,117,117,117,117,117,2019-08-05,168.949997,169.020004,158.03999299999995,163.470001,154.832153,17224900,2.0433107111805793
